station_id,year,month,temperature,country_code,country_name,latitude,longitude,name
ARM00087506,1972,9,8.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,11,13.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,12,18.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,1,21.14,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,3,17.13,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,4,10.8,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,5,6.53,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,8,6.18,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,9,8.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,10,12.21,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,11,15.79,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1973,12,18.63,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,1,21.2,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,2,16.52,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,3,17.48,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,4,13.04,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,5,7.49,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,6,2.18,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,7,2.81,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,8,7.17,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,9,7.32,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,11,15.85,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1974,12,16.84,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,1,20.75,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,2,19.33,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,3,14.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,4,12.37,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,5,6.92,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,6,5.25,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,7,1.41,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,8,4.3,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,9,9.23,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,10,12.67,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1975,11,14.54,AR,Argentina,-35.494,-69.574,MALARGUE
